# step Etot Epot T p 
15850000 -5141.9568 -7113.1622 305.9703 3.9112 
15900000 -5185.3687 -7187.8148 310.8195 13.4249 
15950000 -5243.9848 -7164.2322 298.0606 -4.6662 
16000000 -5080.3882 -7043.0607 304.6458 -7.3232 
16050000 -5139.05 -7036.9561 294.5928 10.7762 
16100000 -5126.7091 -7040.2936 297.0264 5.0704 
16150000 -5187.1382 -7061.187 290.8897 -2.3527 
16200000 -5158.2676 -7066.6731 296.2225 36.4595 
16250000 -5216.3734 -7082.0671 289.5928 -18.6503 
16300000 -5200.3797 -7109.3435 296.3092 -15.2197 
16350000 -5246.0108 -7121.305 291.083 -15.2247 
16400000 -5097.2174 -7082.0643 308.0877 31.5373 
16450000 -5166.9565 -7114.4258 302.286 0.0973 
16500000 -5115.7414 -7082.5689 305.2908 10.5376 
16550000 -5298.6993 -7159.7903 288.8783 -20.8628 
16600000 -5122.0802 -7056.0798 300.1952 25.6438 
16650000 -5152.1448 -7065.8823 297.0501 13.9055 
16700000 -5152.5045 -7141.0199 308.6572 -2.4386 
16750000 -5211.998 -7112.3462 294.9719 -26.4869 
16800000 -5177.1097 -7096.2621 297.8906 -23.6838 
16850000 -5158.4572 -7064.3128 295.8267 1.0444 
16900000 -5116.2303 -7045.7955 299.5069 43.8968 
16950000 -5115.3987 -7041.63 298.9894 14.3636 
17000000 -5216.5107 -7120.5539 295.5454 34.1413 
17050000 -5203.1746 -7144.1083 301.2715 -14.4612 
17100000 -5134.6822 -7087.5446 303.1231 -8.4589 
17150000 -5031.0084 -6993.7901 304.6628 33.9846 
17200000 -5192.9327 -7158.494 305.0942 -32.2309 
17250000 -5229.6746 -7134.341 295.6421 19.3906 
17300000 -5163.7881 -7110.8186 302.2179 -38.1034 
17350000 -5206.7512 -7144.3227 300.7496 14.775 
17400000 -5144.655 -7069.3058 298.7441 -10.7682 
17450000 -5084.5825 -7034.7255 302.701 4.0637 
17500000 -5226.9031 -7121.6825 294.1075 -20.0682 
17550000 -5193.9271 -7119.4108 298.8734 -11.1717 
17600000 -5176.6947 -7062.6017 292.7303 -6.5107 
17650000 -5144.2389 -7079.5228 300.3946 5.0307 
17700000 -5143.1442 -7105.817 304.6459 -6.9605 
17750000 -5141.288 -7069.6366 299.3181 1.339 
17800000 -5110.4069 -7052.2696 301.4157 0.6721 
17850000 -5128.7015 -7076.6378 302.3585 -2.3581 
17900000 -5130.5427 -7069.1555 300.9113 -5.1138 
17950000 -5002.8184 -6985.6249 307.771 -14.2729 
18000000 -5273.9675 -7189.5898 297.3427 3.8757 
18050000 -5148.4519 -7042.5151 293.9963 6.2979 
18100000 -5163.4632 -7126.3217 304.6747 6.6511 
18150000 -5192.3922 -7094.5985 295.2603 15.4177 
18200000 -5300.8407 -7187.181 292.7976 -8.0927 
18250000 -5152.1208 -7023.1977 290.4284 24.2994 
18300000 -5170.894 -7108.1175 300.6956 -1.3466 
18350000 -5134.1662 -7100.323 305.1866 7.9811 
18400000 -5193.7185 -7083.5932 293.3461 -11.656 
18450000 -5200.3138 -7138.7774 300.8881 22.9058 
18500000 -5262.0976 -7136.7156 290.978 -8.6416 
18550000 -5232.8662 -7158.4613 298.8907 -4.7794 
18600000 -5213.1935 -7089.91 291.3037 -22.5463 
18650000 -5206.9622 -7136.3611 299.4811 -11.7073 
18700000 -5067.3778 -7029.6085 304.5772 22.5856 
18750000 -5150.2952 -7112.7987 304.6196 -30.244 
18800000 -5117.647 -7042.1251 298.7173 48.207 
18850000 -5165.3047 -7068.3802 295.3952 -15.9912 
18900000 -5157.8679 -7083.4079 298.8821 19.5401 
18950000 -5208.7274 -7123.4434 297.202 16.1204 
19000000 -5181.1984 -7092.3064 296.642 27.0436 
19050000 -5222.9608 -7098.1627 291.0686 12.328 
19100000 -5159.8724 -7102.4487 301.5265 -15.7145 
19150000 -5155.5035 -7050.0865 294.077 -22.6881 
19200000 -5205.638 -7143.6514 300.8182 56.7098 
19250000 -5183.2301 -7150.4518 305.3519 30.2096 
19300000 -5229.5224 -7116.8349 292.9484 6.2763 
19350000 -5095.4981 -7057.2974 304.5103 -7.6457 
19400000 -5295.6814 -7200.5266 295.6699 -8.0928 
19450000 -5197.7556 -7099.2987 295.1573 -6.1304 
19500000 -5180.804 -7131.5415 302.7933 -29.3169 
19550000 -5241.0753 -7129.4899 293.1195 51.3577 
19600000 -5096.9222 -6999.2037 295.2719 -3.6386 
19650000 -5239.7086 -7147.1114 296.0669 -18.449 
19700000 -5125.8221 -7023.5786 294.5696 2.8426 
19750000 -5151.5386 -7090.5646 300.9754 1.6856 
19800000 -5224.4787 -7115.1473 293.4694 0.9835 
19850000 -5289.414 -7173.6904 292.4772 2.6334 
19900000 -5248.2107 -7152.7792 295.6269 15.3844 
19950000 -5121.6454 -7059.9231 300.8593 3.2477 
20000000 -5180.1028 -7124.0825 301.7443 6.6517 
20050000 -5076.2507 -7064.9184 308.6808 -15.52 
20100000 -5295.2566 -7199.1597 295.5236 -14.7664 
20150000 -5202.7626 -7159.3267 303.6977 3.3623 
20200000 -5327.8656 -7152.6762 283.2469 -6.7348 
20250000 -5180.8057 -7104.8693 298.6529 20.4958 
20300000 -5268.8799 -7150.947 292.1342 -4.2657 
20350000 -5110.2567 -7041.6046 299.7836 -1.5818 
20400000 -5119.2021 -7084.6475 305.0762 -4.8769 
20450000 -5137.1878 -7133.771 309.9094 1.9204 
20500000 -5207.9488 -7118.7741 296.5981 -30.1204 
20550000 -4991.4325 -6989.2057 310.0941 4.8471 
20600000 -5266.2775 -7148.1015 292.0965 -38.0633 
20650000 -5150.7326 -7074.5049 298.6077 2.9224 
20700000 -5144.2506 -7066.1605 298.3186 12.433 
20750000 -5201.5281 -7097.1158 294.2329 13.886 
20800000 -5143.8468 -7083.7638 301.1137 -25.6354 
20850000 -5228.4882 -7133.3939 295.6793 -34.5921 
20900000 -5163.9763 -7084.9607 298.175 -3.7165 
20950000 -5198.3769 -7142.323 301.7391 -19.1265 
21000000 -5257.8523 -7134.9763 291.367 -16.87 
21050000 -5259.1123 -7184.1747 298.808 -19.857 
21100000 -5245.5351 -7160.7343 297.277 2.4161 
21150000 -5184.8329 -7128.0211 301.6215 -38.6331 
21200000 -5192.364 -7144.5338 303.0156 0.1751 
21250000 -5161.1955 -7096.9903 300.4739 -4.77 
21300000 -5169.0051 -7104.6223 300.4463 -39.2216 
21350000 -5320.3082 -7228.3196 296.1613 -5.9355 
21400000 -5192.2778 -7148.8634 303.701 -23.5957 
21450000 -5218.5625 -7181.7899 304.732 -8.3272 
21500000 -5191.4692 -7129.6588 300.8456 2.5059 
21550000 -5129.5585 -7046.7861 297.5919 31.6075 
21600000 -5228.3219 -7110.2372 292.1107 12.3896 
21650000 -5314.5432 -7211.0222 294.3713 -0.489 
21700000 -5213.8214 -7132.6403 297.8389 11.797 
21750000 -5211.4541 -7146.2855 300.3243 9.1403 
21800000 -5087.6047 -7068.3752 307.455 -19.4816 
21850000 -5085.0626 -7056.0006 305.9288 8.3972 
21900000 -5222.8828 -7140.7018 297.6837 -8.9283 
21950000 -5153.1123 -7079.9872 299.0893 -15.6032 
22000000 -5268.9501 -7184.3527 297.3086 -8.9696 
22050000 -5213.613 -7107.0155 293.8937 -19.033 
22100000 -5143.3624 -7052.0665 296.2688 0.6168 
22150000 -5231.4353 -7147.4642 297.4058 1.9103 
22200000 -5125.8193 -7052.0108 298.9832 -0.962 
22250000 -5228.9465 -7151.1277 298.3608 -24.2178 
22300000 -5206.6061 -7180.9145 306.4519 10.7146 
22350000 -5194.4866 -7090.9208 294.3643 -3.5001 
22400000 -5263.6 -7162.7988 294.7934 -17.3518 
22450000 -5231.0094 -7171.5468 301.21 13.6451 
22500000 -5105.3844 -7056.4451 302.8434 14.5883 
22550000 -5146.196 -7082.5792 300.5652 -25.5059 
22600000 -5131.6116 -7091.9574 304.2847 37.8529 
22650000 -5179.5274 -7112.7621 300.0765 55.5019 
22700000 -5142.0933 -7095.7083 303.2399 5.1297 
22750000 -5251.3749 -7156.0596 295.6449 46.4911 
22800000 -5163.0207 -7097.3372 300.2444 40.9727 
22850000 -5184.7936 -7143.3452 304.0062 -1.4324 
22900000 -5141.9232 -7128.3901 308.3392 2.9209 
22950000 -5160.966 -7156.4855 309.7443 -1.3635 
23000000 -5297.594 -7202.0789 295.6139 -7.6834 
23050000 -5265.8704 -7142.6559 291.3144 10.9235 
23100000 -5212.3419 -7158.5026 302.0829 6.876 
23150000 -5171.2416 -7089.4391 297.7424 26.5163 
23200000 -5174.4431 -7075.2415 295.0417 9.5462 
23250000 -5204.8496 -7120.2112 297.3022 -8.6095 
23300000 -5321.6422 -7222.1818 295.0016 -40.1475 
23350000 -5218.028 -7194.1259 306.7297 7.5964 
23400000 -5127.8772 -7093.4452 305.0953 23.296 
23450000 -5206.242 -7081.0653 291.0099 1.0675 
23500000 -5221.7396 -7099.7374 291.5026 -7.2486 
23550000 -5225.7278 -7158.9492 300.0744 32.6618 
23600000 -5259.9821 -7145.6401 292.6916 -13.9418 
23650000 -5156.8651 -7086.7495 299.5564 17.6746 
23700000 -5375.2629 -7186.0923 281.0767 -43.9963 
23750000 -5191.006 -7096.8854 295.8304 -12.8952 
23800000 -5164.426 -7105.8348 301.3453 3.9853 
23850000 -5169.3842 -7086.6269 297.5942 -8.3688 
23900000 -5152.3271 -7076.8702 298.7274 -41.8983 
23950000 -5085.5475 -7055.2328 305.7343 -43.8117 
